Codigo Produto,Descrição,Valor_unitário,Código de Barras,Sku,Fornecedor,Data Emissão,NCM,Marca,Peso,Url Imagem,Largura,Altura,Comprimento,Categoria,GTIN_Válido,Preço Final,Taxas,Lucro,Tipo Taxa,Url_Imagem1.0,Url_Imagem2.0,Url_Imagem3.0,Url Cloudinary
137104,TRINCHA 500X2 TIGRE,4.053,07891395003195,07891395003195,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-03-04 02:44:00,96034090,TIGRE,0.025,https://cdn.construdigi.com.br/produtos/137104/137104.jpg,5.0,0.87,5.0,DIVERSOS - PINTURA,True,10.57,6.11,0.41,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692316/imagens_otimizadas_marketplace/img_temp.jpg"
149173,ROLO ESPUMA POLIESTER 15 C/G 1341 TIGRE,5.989,07891395041562,07891395041562,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2024-11-19 07:40:00,96034010,TIGRE,0.055,https://cdn.construdigi.com.br/produtos/149173/149173.jpg,13.0,3.36,13.0,DIVERSOS - PINTURA,True,13.23,6.65,0.6,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692318/imagens_otimizadas_marketplace/img_temp.jpg"
149196,TRINCHA 696X3** TIGRE,9.39,07891395061904,07891395061904,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-10-03 05:12:00,96034090,TIGRE,0.08,https://cdn.construdigi.com.br/produtos/149196/149196.jpg,7.8,1.49,7.8,DIVERSOS - PINTURA,True,17.91,7.58,0.94,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692319/imagens_otimizadas_marketplace/img_temp.jpg"
149200,TRINCHA 697X1 TIGRE,3.459,07891395061959,07891395061959,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2024-11-19 07:40:00,96034090,TIGRE,0.024,https://cdn.construdigi.com.br/produtos/149200/149200.jpg,3.2,1.2,3.2,DIVERSOS - PINTURA,True,9.76,5.95,0.35,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692321/imagens_otimizadas_marketplace/img_temp.jpg"
10112,SPRAY DECOR ALUMINIO 360ML 858 COLORGIN,14.85,07891494085818,07891494085818,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-04-03 05:40:00,32082019,COLORGIN,0.343,https://cdn.construja.com.br/produtos/10112/10112.jpg,5.5,24.5,5.5,TINTA SPRAY,True,25.42,9.08,1.49,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692321/imagens_otimizadas_marketplace/img_temp.jpg"
10127,SPRAY DECOR VERNIZ UG 360ML 879 COLORGIN,15.182,07891494087911,07891494087911,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-08-19 06:50:00,32082019,COLORGIN,0.344,https://cdn.construja.com.br/produtos/10127/10127.jpg,5.5,24.5,5.5,TINTA SPRAY,True,25.88,9.18,1.52,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692321/imagens_otimizadas_marketplace/img_temp.jpg"
15944,DISJ DIN UNIP 10A CURVA C STECK,7.992,07893401194576,07893401194576,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2020-11-17 05:13:56,85362000,STECK,0.0895,https://cdn.construja.com.br/produtos/15944/15944.jpg,8.0,2.0,8.0,CENTRO DISJUNTOR,True,15.99,7.2,0.8,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692322/imagens_otimizadas_marketplace/img_temp.jpg"
15959,DISJ DIN BIP 40A CURVA C STECK,37.298,07893401194743,07893401194743,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-08-27 04:52:00,85362000,STECK,0.185,https://cdn.construja.com.br/produtos/15959/15959.jpg,8.0,3.5,8.0,CENTRO DISJUNTOR,True,56.28,15.26,3.73,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692323/imagens_otimizadas_marketplace/img_temp.jpg"
15960,DISJ DIN BIP 50A CURVA C STECK,37.298,07893401194750,07893401194750,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-08-27 04:52:00,85362000,STECK,0.184,https://cdn.construja.com.br/produtos/15960/15960.jpg,8.0,3.5,8.0,CENTRO DISJUNTOR,True,56.28,15.26,3.73,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692323/imagens_otimizadas_marketplace/img_temp.jpg"
180329,PISTOLA COLA 40W BIV 3KN EDA,23.507,07895315004323,07895315004323,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-11-22 01:25:00,85167990,EDA,0.227,https://cdn.construdigi.com.br/produtos/180329/180329.jpg,14.5,4.0,14.5,FERRAMENTAS ELETRICAS,True,37.32,11.46,2.35,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692324/imagens_otimizadas_marketplace/img_temp.jpg"
