arquivo,url_cloudinary
1_PARAF_DRYWALL_TROMB_AGULHA_DTA_35_X_35.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168417/imagens_otimizadas_marketplace/1_PARAF_DRYWALL_TROMB_AGULHA_DTA_35_X_35.jpg"
1_ENGATE_PLASTICO_PLASTILIT_60CM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168417/imagens_otimizadas_marketplace/1_ENGATE_PLASTICO_PLASTILIT_60CM.jpg"
"3_CABO_CHUPETA_P_BATERIA_CAMINHAO_3,50_EDA.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168419/imagens_otimizadas_marketplace/3_CABO_CHUPETA_P_BATERIA_CAMINHAO_3_50_EDA.jpg"
2_BARRA_ROSQ.JOMARCA_1MT_ZINC_D_3_8_(NC).jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168420/imagens_otimizadas_marketplace/2_BARRA_ROSQ.JOMARCA_1MT_ZINC_D_3_8__NC.jpg"
2_CHAVE_COMBINADA_CATRACADA_EDA_13MM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168420/imagens_otimizadas_marketplace/2_CHAVE_COMBINADA_CATRACADA_EDA_13MM.jpg"
2_COTOVELO_ESGOTO_PLASTILIT_40X90_C_ANEL.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168421/imagens_otimizadas_marketplace/2_COTOVELO_ESGOTO_PLASTILIT_40X90_C_ANEL.jpg"
1_FIXA_CUBA_ESPELHO_GARIN___80G_CZ.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168423/imagens_otimizadas_marketplace/1_FIXA_CUBA_ESPELHO_GARIN___80G_CZ.jpg"
1_DISCO_DIAM_BOSCH_SEGMENTADO_674.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168425/imagens_otimizadas_marketplace/1_DISCO_DIAM_BOSCH_SEGMENTADO_674.jpg"
1_CORANTE_XADREZ_50ML_OCRE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168426/imagens_otimizadas_marketplace/1_CORANTE_XADREZ_50ML_OCRE.jpg"
"2_MANG_MAQ.LAVAR_SAIDA_OLIPLAS_1,40.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168426/imagens_otimizadas_marketplace/2_MANG_MAQ.LAVAR_SAIDA_OLIPLAS_1_40.jpg"
2_BRACO_P_CHUV.PLAST.ARTPLAS_40CM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168427/imagens_otimizadas_marketplace/2_BRACO_P_CHUV.PLAST.ARTPLAS_40CM.jpg"
1_TINTA_EUCATEX_ACR_PISO_C_18L_VERDE.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168428/imagens_otimizadas_marketplace/1_TINTA_EUCATEX_ACR_PISO_C_18L_VERDE.jpg"
3_OTTO_B.BIANCO_A_POTE_900G.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168429/imagens_otimizadas_marketplace/3_OTTO_B.BIANCO_A_POTE_900G.jpg"
2_CHAPIX_QUARTZOLIT_A_FRASCO_1LT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168431/imagens_otimizadas_marketplace/2_CHAPIX_QUARTZOLIT_A_FRASCO_1LT.jpg"
3_DENVERCRIL_SUPER-BRANCO_12KG_ONU__NA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168432/imagens_otimizadas_marketplace/3_DENVERCRIL_SUPER-BRANCO_12KG_ONU__NA.jpg"
1_RASPADOR_DE_REJUNTE_1_LAMINA_MAX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168434/imagens_otimizadas_marketplace/1_RASPADOR_DE_REJUNTE_1_LAMINA_MAX.jpg"
1_LIXA_TATU_GK_MASSA_180_C_50.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168435/imagens_otimizadas_marketplace/1_LIXA_TATU_GK_MASSA_180_C_50.jpg"
"2_ESPAC.PISO_AZ_ROSCA_2,0MM_COMPEL_C_100.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168437/imagens_otimizadas_marketplace/2_ESPAC.PISO_AZ_ROSCA_2_0MM_COMPEL_C_100.jpg"
"1_BROCA_IRWIN_ACO_RAPIDO___6,0MM.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168439/imagens_otimizadas_marketplace/1_BROCA_IRWIN_ACO_RAPIDO___6_0MM.jpg"
3_OTTO_B.PRIMER_MANTA_ECO_BASE_DAGUA_1LT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168441/imagens_otimizadas_marketplace/3_OTTO_B.PRIMER_MANTA_ECO_BASE_DAGUA_1LT.jpg"
2_PARAF_CHIPBOARD_CHATA_PHS_6.0_X_70.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168442/imagens_otimizadas_marketplace/2_PARAF_CHIPBOARD_CHATA_PHS_6.0_X_70.jpg"
1_FITA_ISOL_3M_IMPERIAL__05_MTS.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168443/imagens_otimizadas_marketplace/1_FITA_ISOL_3M_IMPERIAL__05_MTS.jpg"
2_FECHO_P_CADEADO_INCA_3_DZ.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168444/imagens_otimizadas_marketplace/2_FECHO_P_CADEADO_INCA_3_DZ.jpg"
2_DISJ_STECK_SERIE_SD61_50A_1P_CURVA_C_3KA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168445/imagens_otimizadas_marketplace/2_DISJ_STECK_SERIE_SD61_50A_1P_CURVA_C_3KA.jpg"
3_SERRA_MARM.MAKITA_4100NH2_Z_220V.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168446/imagens_otimizadas_marketplace/3_SERRA_MARM.MAKITA_4100NH2_Z_220V.jpg"
3_SOPRADOR_TERMICO_FERRARI_1500W_127V.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168447/imagens_otimizadas_marketplace/3_SOPRADOR_TERMICO_FERRARI_1500W_127V.jpg"
