Código;classificacao_marketplace;canal_ml;canal_shopee;tipo_envio_ml_sugerido
11976;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00412;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
186035;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01554;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9519;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01553;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
2956;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02141;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13269;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00326;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13256;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00888;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13296;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13297;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
132185;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02350;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7739;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01369;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13229;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01409;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
12246;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02259;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
132180;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01182;VALIDO_AMBOS;SIM;SIM;ML_AGENCIA_COLETA
10620;VALIDO_AMBOS;SIM;SIM;ML_AGENCIA_COLETA
PAI-G00925;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
14227;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
16406;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01266;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180173;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180174;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01324;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
17411;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00472;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
4186;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00470;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13336;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
5705;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
PAI-G01666;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
5667;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01672;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
5673;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01755;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
10842;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01646;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
10957;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01615;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11018;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11022;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11023;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01650;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
5635;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02328;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7699;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7705;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01837;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6132;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6133;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6135;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
8475;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02017;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
6724;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
PAI-G01072;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
8908;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01075;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13478;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01651;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9112;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01865;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
107201;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01433;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
107193;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01859;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6175;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6174;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01047;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
