nome,url_cloudinary
3149_2_COLETE_REFLETIVO_KALIPSO_AMARELO_XG.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3149_2_colete_refletivo_kalipso_amarelo_xg
3_COLHER_BRASFORT_CANTO_RETO_-_09.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_colher_brasfort_canto_reto_-_09
3246_1_COLA_SILICONE__50G_TEKBOND_TRANSP_BISN.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3246_1_cola_silicone__50g_tekbond_transp_bisn
3_DESEMP_ACO_RASPADEIRA_14X24_CASTOR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_desemp_aco_raspadeira_14x24_castor
1_FECHAD_SOPRANO_ESTREITA_0520_18.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_fechad_soprano_estreita_0520_18
2162_1_GANCHO_LATONADO_15X30_SAO_RAFAEL_C_100.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2162_1_gancho_latonado_15x30_sao_rafael_c_100
2607_3_COLHER_PACETTA_CANTO_RETO_2002_-_10.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2607_3_colher_pacetta_canto_reto_2002_-_10
2366_3_DENVERFITA_RL_20CM_X_10MTS_ONU__N_A.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2366_3_denverfita_rl_20cm_x_10mts_onu__n_a
1652_1_PARAF_FRANCES_[13]_1_4X11_2_NEW-FIX.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1652_1_paraf_frances_%5B13%5D_1_4x11_2_new-fix
2314_3_UNIAO_P_TORN_PVC_3_4X1_2_GARDEN.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2314_3_uniao_p_torn_pvc_3_4x1_2_garden
2004_3_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.40.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2004_3_bota_pega_forte_pt_am_cano_curto_n.40
3627_2_LUMI_TARTARUGA_FERRO_VIDRO_BR_JR_ILUM.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3627_2_lumi_tartaruga_ferro_vidro_br_jr_ilum
3948_1_BOTA_PEGA_FORTE_PT_AM_CANO_MEDIO_N.38.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3948_1_bota_pega_forte_pt_am_cano_medio_n.38
3074_2_SIST_X_RADIAL_2INT_SIMP_C_CX_1902003_BR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3074_2_sist_x_radial_2int_simp_c_cx_1902003_br
2_ESTOPA_P_USO_GERAL_200G_PAULICEIA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_estopa_p_uso_geral_200g_pauliceia
1_MASSA_PLASTICA_400GR_CARPLAST_PRETA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_massa_plastica_400gr_carplast_preta
3_LIXA_TATU_GK_FERRO___60_C_25.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_lixa_tatu_gk_ferro___60_c_25
0073_2_ENGATE_PVC_50_KRONA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/0073_2_engate_pvc_50_krona
2_AMPERIMETRO_DIGITAL_BRASFORT_8559.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_amperimetro_digital_brasfort_8559
3592_2_PALHA_DE_ACO_VEGA_N.1.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3592_2_palha_de_aco_vega_n.1
1373_3_FIXA_FIO_MIGUELAO_DUPLO_C_100PC_SFOR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1373_3_fixa_fio_miguelao_duplo_c_100pc_sfor
2_PORTA_GRELHA_RED_BRANCA_15X15_TIGRE.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_porta_grelha_red_branca_15x15_tigre
3988_3_OLEO_LUBRIF.STARRETT_S-LUB_300ML_200G.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3988_3_oleo_lubrif.starrett_s-lub_300ml_200g
2662_2_OTTO_B.PRIMER_MANTA_ECO_BASE_DAGUA_1LT.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2662_2_otto_b.primer_manta_eco_base_dagua_1lt
3325_2_FITA_TELADA_WALTAPE_48X45_WALSYWA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3325_2_fita_telada_waltape_48x45_walsywa
3129_2_PISTOLA_P_SILICONE_RAYCO_15W_PQ_BIV.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3129_2_pistola_p_silicone_rayco_15w_pq_biv
"2654_2_MANG_MAQ.DE_LAVAR_ENTRADA_1,20MT_IBIRA.jpg",https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2654_2_mang_maq.de_lavar_entrada_1%2C20mt_ibira
2652_1_MANG_CHUVEIRO_BRANCA_50_MT_IBIRA_402.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2652_1_mang_chuveiro_branca_50_mt_ibira_402
3811_3_PORCA_TORNEADA_NEW_FIX_ZINC_F_3_8_(NC).jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3811_3_porca_torneada_new_fix_zinc_f_3_8_%28nc%29
3142_3_LUVA__TRICOTADA_PIGMENTADA_BR_KALIPSO.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3142_3_luva__tricotada_pigmentada_br_kalipso
1980_1_CINTO_SEGUR.PARAQUED.C_2PONTO_G_DELTA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1980_1_cinto_segur.paraqued.c_2ponto_g_delta
1971_1_LUVA__CONSTRUCAO_VE730_09_DELTA_PLUS.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1971_1_luva__construcao_ve730_09_delta_plus
2_PARAF_SEX.FERRO_A_1_4_X_3_4_JOMARCA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_paraf_sex.ferro_a_1_4_x_3_4_jomarca
1612_1_TALHADEIRA_REDONDA_3_4X12_LORD.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1612_1_talhadeira_redonda_3_4x12_lord
1_CORDA_POLIEST.FIRMEZA_BR_05MM_RL_155.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_corda_poliest.firmeza_br_05mm_rl_155
3_LIXA_TATU_GK_FERRO__240_C_25.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_lixa_tatu_gk_ferro__240_c_25
2670_3_COLA_BRANCA_PVA_EXTRA_500GR_OTTO.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2670_3_cola_branca_pva_extra_500gr_otto
2046_3_CADEADO_PADO_35.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2046_3_cadeado_pado_35
3779_3_CONEC_FERTAK_PORCELANA_10MM_TRIF_8204.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3779_3_conec_fertak_porcelana_10mm_trif_8204
2322_2_PARAF_P_VASO_LATAO_LUXO_1033_B10.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2322_2_paraf_p_vaso_latao_luxo_1033_b10
1827_2_LAMP_LED_ALTA_POT_50W-4000LM_6500K_GALAX.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1827_2_lamp_led_alta_pot_50w-4000lm_6500k_galax
2187_1_INT._1S+TOM_2P+T_20A_C_PL_ARIA_C_20_TRAM.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2187_1_int._1s%2Btom_2p%2Bt_20a_c_pl_aria_c_20_tram
1180_1_ARMARIO_BANH_BR_REVERS_2650_HERC.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1180_1_armario_banh_br_revers_2650_herc
1582_3_RESIST_TIPO_BELLO_MAXI_5500X220V_PRATIMI.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1582_3_resist_tipo_bello_maxi_5500x220v_pratimi
2508_1_BROXA_ATLAS_RETANGULAR_MEDIA_800-1.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2508_1_broxa_atlas_retangular_media_800-1
1_COLA_SUPER_COLA_2GR_TEKBOND.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_cola_super_cola_2gr_tekbond
3168_3_LONA_PRETA_4X100_30KG_(_G_)_SILO_NORTENE.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3168_3_lona_preta_4x100_30kg_%28_g_%29_silo_nortene
2144_1_CORANTE_XADREZ_50ML_VERMELHO.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2144_1_corante_xadrez_50ml_vermelho
"2660_3_OTTO_B.VEDAPREN_PAREDE_BR_GL_3,6KG_GALAO.jpg",https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2660_3_otto_b.vedapren_parede_br_gl_3%2C6kg_galao
2_CENTRI_TAF_PVC_12_16_DISJ_BR_FUME_EMB.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_centri_taf_pvc_12_16_disj_br_fume_emb
3992_2_LUVA_ESGOTO_SHIVA__50_X_50_BR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3992_2_luva_esgoto_shiva__50_x_50_br
1785_1_LIXA_FERRO_080_K-240_FERJA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1785_1_lixa_ferro_080_k-240_ferja
3_ZARCAO_NATRIELLI_CINZA_1_4.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_zarcao_natrielli_cinza_1_4
1_ESMALTE_1_4_SINTET._EUCALAR_CZ.ESCURO.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_esmalte_1_4_sintet._eucalar_cz.escuro
2_DISCO_DIAM_IRWIN_TURBO_13893.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_disco_diam_irwin_turbo_13893
2_COTOVELO_TIGRE_LL__B_3_4_X_90_MARROM.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_cotovelo_tigre_ll__b_3_4_x_90_marrom
3132_3_ESTICADOR_P_CABO_ACO_RAYCO_E_1_2_-M12.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3132_3_esticador_p_cabo_aco_rayco_e_1_2_-m12
2946_2_LAVATORIO_SABARA_BRANCO_MED_46X35CM_ICAS.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2946_2_lavatorio_sabara_branco_med_46x35cm_icas
2_ESCOVA_ACO_C_CABO_PLAST.ATLAS_1840_3.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_escova_aco_c_cabo_plast.atlas_1840_3
1_PARAF_SEX.ROS.SOBERBA_1_4_X_60.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_paraf_sex.ros.soberba_1_4_x_60
2081_3_ESPATULA_TRAMONTINA__08_C_CABO_PLASTICO.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2081_3_espatula_tramontina__08_c_cabo_plastico
3083_2_SIST_X_RADIAL_2TOM_20A_C_CX_1902215_BR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3083_2_sist_x_radial_2tom_20a_c_cx_1902215_br
3_CHUMB_ACO_ANCORA_CBA_1_4_X_3_C_PARF_PROL.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_chumb_aco_ancora_cba_1_4_x_3_c_parf_prol
1_FECHO_P_CADEADO_INCA_3_DZ.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_fecho_p_cadeado_inca_3_dz
1_BROXA_TIGRE_RETANGULAR_PVC_PT_1199_2.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_broxa_tigre_retangular_pvc_pt_1199_2
1778_3_CORDA_POLIESTER_COLOR_10MM_CARRET_165M_F.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1778_3_corda_poliester_color_10mm_carret_165m_f
1216_2_PORTA_GRELHA_PVC_QUAD_15CM_BR_GRAP.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1216_2_porta_grelha_pvc_quad_15cm_br_grap
3_COTOVELO_ESGOTO_FORTLEV_B_50_X_90_BR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_cotovelo_esgoto_fortlev_b_50_x_90_br
2944_3_LINHA_PEDREIRO_TRANCADA_POLIBEL_C_100_MT.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2944_3_linha_pedreiro_trancada_polibel_c_100_mt
"3_BROCA_IRWIN_ACO_RAPIDO___2,5MM.jpg",https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_broca_irwin_aco_rapido___2%2C5mm
2040_1_TRINCHA_CONDOR_700_F_2.1_2_PRETA.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2040_1_trincha_condor_700_f_2.1_2_preta
3_RESIST.HYDRA_MEGA_DUCHA_6400W_220.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_resist.hydra_mega_ducha_6400w_220
3924_2_BOTINA_COURO_INFINITY_BIQ.PVC_CRIVAL_42.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3924_2_botina_couro_infinity_biq.pvc_crival_42
3_COTOVELO_ESGOTO_SHIVA_150X45_BR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_cotovelo_esgoto_shiva_150x45_br
1230_1_SOQUETE_C__PLUG_E27_PT_FOXLUX.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1230_1_soquete_c__plug_e27_pt_foxlux
3_BRASILIT_FITA__ADESIVA__ALUM_20CMX10MT.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_brasilit_fita__adesiva__alum_20cmx10mt
2_LAMP_LED_BULBO_15W_6500K_BIV_LED_BEE.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_lamp_led_bulbo_15w_6500k_biv_led_bee
1261_1_MARRETA_FUNDIDA_500G_C_CABO_TENACE.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1261_1_marreta_fundida_500g_c_cabo_tenace
3_PINO_MACHO_PERLEX_2P+T_10A_CZ_1043.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3_pino_macho_perlex_2p%2Bt_10a_cz_1043
