chave,url_cloudinary
local_1_MANTA_FIBRA_DE_VIDRO_BRASCOLA_300GRS.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/1_manta_fibra_de_vidro_brascola_300grs.jpg"
local_3_BOTINA_NOBUCK_BIQ.PVC_CRIVAL_CAFE_40.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/3_botina_nobuck_biq.pvc_crival_cafe_40.jpg"
local_3_RESPIRADOR_SEMI_FACIAL_P__2_FILTROS_PLAS.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/3_RESPIRADOR_SEMI_FACIAL_P__2_FILTROS_PLAS.jpg"
local_1_CONEC_WAGO_2P_05_A_6_0M_41A_221-612_C_3.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/1_CONEC_WAGO_2P_05_A_6_0M_41A_221-612_C_3.jpg"
local_1_CORRENTE_SOLD_5_0MM_12_5KG__23M__FERJA.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/1_CORRENTE_SOLD_5_0MM_12_5KG__23M__FERJA.jpg"
local_1_CENTRI_STECK_PVC_02_DISJ_DIN_SOB_BR_SCT2.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_centri_steck_pvc_02_disj_din_sob_br_sct2.jpg"
local_2_MASSA_PLAST_400G_CZ_C__CATALISADOR_CARPL.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/2_MASSA_PLAST_400G_CZ_C__CATALISADOR_CARPL.jpg"
local_1_CORDA_POLIEST.FIRMEZA_03MM-400MT_CARRET.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_corda_poliest.firmeza_03mm-400mt_carret.jpg"
local_1_LINHA_PEDR_TRANC_100M_LARANJA__POLIFIO.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_LINHA_PEDR_TRANC_100M_LARANJA__POLIFIO.jpg"
local_1_EMENDA_ZINCO_SAIDA_PLATIBANDA_C_28_C.FOR.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_EMENDA_ZINCO_SAIDA_PLATIBANDA_C_28_C.FOR.jpg"
local_3_TORN_ABS_AGELUX_P_FILTRO_MARR.AUTOM.101.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/3_torn_abs_agelux_p_filtro_marr.autom.101.jpg"
