arquivo_final,url
1_espac_pisoaz_rosca_1_5mm_compel_c100.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_espac_pisoaz_rosca_1_5mm_compel_c100.jpg
1_esp_mec_tronic_petra_4x2_1mod_82001h.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_esp_mec_tronic_petra_4x2_1mod_82001h.jpg
1_abrac_nylon_brasfort_200x2_5_am_c50.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_abrac_nylon_brasfort_200x2_5_am_c50.jpg
1_chave_phil_tram__d__14_x_4.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_chave_phil_tram__d__14_x_4.jpg
1_torn_bica_m_cfiltro_herc_br_2880.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_torn_bica_m_cfiltro_herc_br_2880.jpg
1_cj_mec_tronic_petra_1simp_10a_81077v.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_cj_mec_tronic_petra_1simp_10a_81077v.jpg
1_ext_danev_sort_2p_t_pp_0_75_3mt_1786.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_ext_danev_sort_2p_t_pp_0_75_3mt_1786.jpg
1_canton_pmoveis_zamar_bicrom_1_12_c50.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_canton_pmoveis_zamar_bicrom_1_12_c50.jpg
1_caixa_d_agua_polietileno_fortlev__100l.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_caixa_d_agua_polietileno_fortlev__100l.jpg
1_abrac_rsf_rexon9mm_j2_14x3_5776_c50.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560064/produtos/1_abrac_rsf_rexon9mm_j2_14x3_5776_c50.jpg
1_alic_rebit_4_bicos_vonder_r-244.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_alic_rebit_4_bicos_vonder_r-244.jpg
1_ext_techna__pl_0_75__3mt_pt.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_ext_techna__pl_0_75__3mt_pt.jpg
1_chave_phil_tram__f__14_x_6.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_chave_phil_tram__f__14_x_6.jpg
1_lixa_norton_ferro_100_c25.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_lixa_norton_ferro_100_c25.jpg
1_formao_pacetta_f_34.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_formao_pacetta_f_34.jpg
1_tubo_ligacao_abs_cr_1_12_sanf_censi.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_tubo_ligacao_abs_cr_1_12_sanf_censi.jpg
1_cabo_ferra_picareta_garapeira_0_95cm.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560065/produtos/1_cabo_ferra_picareta_garapeira_0_95cm.jpg
1_refil_pist_gd_silicone_c1k_em_barra.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_refil_pist_gd_silicone_c1k_em_barra.jpg
1_abrac_rsf_rexon_9mm_c12x34_1319_c100.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_abrac_rsf_rexon_9mm_c12x34_1319_c100.jpg
1_spray_chemicolor_alta_temp_pt_fosco_315m.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_spray_chemicolor_alta_temp_pt_fosco_315m.jpg
1_tampa_pcaixa_d_agua_poli_fortlev__500l.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_tampa_pcaixa_d_agua_poli_fortlev__500l.jpg
1_aspir_de_po_wap_auto_12v.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_aspir_de_po_wap_auto_12v.jpg
1_lamp_comp_25w_127v_3u_luz_br_ourolux.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_lamp_comp_25w_127v_3u_luz_br_ourolux.jpg
1_paraf_chipboard_chata_phs_5_0_x_45_3152.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_paraf_chipboard_chata_phs_5_0_x_45_3152.jpg
1_serrote_irwin_gessodrywall_cb_mad.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_serrote_irwin_gessodrywall_cb_mad.jpg
1_alic_ppisoaz_pnivelamento_deplast.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560066/produtos/1_alic_ppisoaz_pnivelamento_deplast.jpg
1_cond_corrugado_preto_d_1_r50.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_cond_corrugado_preto_d_1_r50.jpg
1_caixa_d_agua_polietileno_fortlev__250l.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_caixa_d_agua_polietileno_fortlev__250l.jpg
1_caixa_sif_fortlev_qua_br_10_x_10_x_50.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_caixa_sif_fortlev_qua_br_10_x_10_x_50.jpg
1_paraf_chipboard_chata_phs_3_5_x_35_3125.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_paraf_chipboard_chata_phs_3_5_x_35_3125.jpg
1_paraf_auto_brocan_sex__4_2_x_13_3306.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_paraf_auto_brocan_sex__4_2_x_13_3306.jpg
1_lumi_alet_compl_2x20_pt_biv_lumiartblum.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_lumi_alet_compl_2x20_pt_biv_lumiartblum.jpg
1_esp_tramontina_lux_4x4_4int_57105026.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_esp_tramontina_lux_4x4_4int_57105026.jpg
1_barra_rosq_jomarca_1mt_zinc_b_14__nc_.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_barra_rosq_jomarca_1mt_zinc_b_14__nc_.jpg
1_abrac_tipo_u_j_4_c50_j_f_metais.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_abrac_tipo_u_j_4_c50_j_f_metais.jpg
1_paraf_frances_b_14_x_2.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560067/produtos/1_paraf_frances_b_14_x_2.jpg
1_canton_mao_franc_r_c_a_leve_br_20cm.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_canton_mao_franc_r_c_a_leve_br_20cm.jpg
1_modulo_mec_tronic_petra_1int_simp_80043.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_modulo_mec_tronic_petra_1int_simp_80043.jpg
1_regua_alum_45_x_20mm_2mt_bi-tubular.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_regua_alum_45_x_20mm_2mt_bi-tubular.jpg
1_cj_ilum_safira_1int_sim_6a_2217.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_cj_ilum_safira_1int_sim_6a_2217.jpg
1_cabo_ferra_marreta_madeirite_30cm_leve.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_cabo_ferra_marreta_madeirite_30cm_leve.jpg
1_vent_de_mesa_30cm_ptcz_127v_turbo_vent.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_vent_de_mesa_30cm_ptcz_127v_turbo_vent.jpg
1_fio_cabo_pinf_patch_cord_rj568_2_10m_in.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_fio_cabo_pinf_patch_cord_rj568_2_10m_in.jpg
1_cj_ilum_safira_2tom_2p_t_20a_22121.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560068/produtos/1_cj_ilum_safira_2tom_2p_t_20a_22121.jpg
