arquivo,url_cloudinary
3796_1_PASSA_FIO_MEGATRON_C_ALMA_DE_ACO_10MT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951141/imagens_otimizadas_marketplace/3796_1_PASSA_FIO_MEGATRON_C_ALMA_DE_ACO_10MT.jpg"
0919_1_FUNDO_PREPARADOR_ZERO_MOFO_EUCATEX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951142/imagens_otimizadas_marketplace/0919_1_FUNDO_PREPARADOR_ZERO_MOFO_EUCATEX.jpg"
2729_2_PASSA_FIO_PROAQUA_SUPER_C_ALMA_DE_ACO15M.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951143/imagens_otimizadas_marketplace/2729_2_PASSA_FIO_PROAQUA_SUPER_C_ALMA_DE_ACO15M.jpg"
3598_1_CHAVE_BIELA_IMA_14MM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951143/imagens_otimizadas_marketplace/3598_1_CHAVE_BIELA_IMA_14MM.jpg"
"2152_1_DISCO_SPED_INOX_NORTON_4.1_2X7_8X1,0.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951144/imagens_otimizadas_marketplace/2152_1_DISCO_SPED_INOX_NORTON_4.1_2X7_8X1_0.jpg"
2889_2_PLUG_PLASTILIT_RR_1_2_X_1_2_BR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951145/imagens_otimizadas_marketplace/2889_2_PLUG_PLASTILIT_RR_1_2_X_1_2_BR.jpg"
1100_2_DESEMP_ACO_LISA_12X27_CASTOR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951145/imagens_otimizadas_marketplace/1100_2_DESEMP_ACO_LISA_12X27_CASTOR.jpg"
2650_3_MULTIMASSA_PRONTA_QUARTZOLIT_20K.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951146/imagens_otimizadas_marketplace/2650_3_MULTIMASSA_PRONTA_QUARTZOLIT_20K.jpg"
2314_3_UNIAO_P_TORN_PVC_3_4X1_2_GARDEN.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951147/imagens_otimizadas_marketplace/2314_3_UNIAO_P_TORN_PVC_3_4X1_2_GARDEN.jpg"
3129_2_PISTOLA_P_SILICONE_RAYCO_15W_PQ_BIV.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951148/imagens_otimizadas_marketplace/3129_2_PISTOLA_P_SILICONE_RAYCO_15W_PQ_BIV.jpg"
