ID,Código,Descrição,classificacao_marketplace,canal_ml,canal_shopee,tipo_envio_ml_sugerido,necessitaMontagem,produtoPersonalizado
16646319733,PAI-G00056,AGUA RAZ ITAQUA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319793,195,Capacidade:900ML,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325111,PAI-G00057,AGUARRAS EUCATEX,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325211,163387,Medida:900ML,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338890,PAI-G00058,AGUARRAS ITAQUA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339051,152113,Capacidade:900 ML,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325306,PAI-G00059,AGUARRAS NATRIELLI,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325398,15206,Medida:450ML,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319405,PAI-G00060,AGULHA P/ FOGAO CHACONFER,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646343129,PAI-G00061,ALAVANCA DE ACO LORD,SOMENTE_ML,SIM,NAO,ML_AGENCIA_COLETA,Não,Não
16646422712,366820,"Medida:1X1,50MT;Material:ACO",SOMENTE_ML,SIM,NAO,ML_AGENCIA_COLETA,Não,Não
16646325124,PAI-G00062,ALCOOL GEL 70 EUCATEX,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325227,393220,Peso:420GRS,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324428,PAI-G00063,ALICATE BICO EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324485,180369,Tipo:AGULHA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325429,PAI-G00064,ALICATE BICO HAMMER 7100,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325487,383325,Tamanho:1/2 CANA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324429,PAI-G00065,ALICATE BICO PRO EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324488,180370,Tipo:CHATO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323473,PAI-G00066,ALICATE BICO REDONDO PVC PRO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323544,180373,Tamanho:41/2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323478,PAI-G00067,ALICATE BOMBA D AGUA EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
